accessno,accessory,acqvalue,age,appnotes,appraisor,assemzone,bagno,boxno,caption,catby,catdate,cattype,chemcomp,circum,circumft,circumin,classes,colldate,collection,collector,conddate,condexam,condition,condnotes,count,creator,creator2,creator3,credit,crystal,culture,curvalmax,curvalue,dataset,date,datingmeth,datum,depth,depthft,depthin,descrip,diameter,diameterft,diameterin,dimnotes,dimtype,dispvalue,earlydate,elements,epoch,era,event,excavadate,excavateby,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,family,feature,flagdate,flagnotes,flagreason,formation,fossils,found,fracture,frame,framesize,genus,gparent,grainsize,habitat,hardness,height,heightft,heightin,homeloc,idby,iddate,imagefile,imageno,imagesize,inscomp,inscrlang,inscrpos,inscrtech,inscrtext,inscrtrans,inscrtype,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,kingdom,latdeg,latedate,legal,length,lengthft,lengthin,level,lithofacie,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,luster,made,maintcycle,maintdate,maintnote,material,medium,member,mmark,nhclass,nhorder,notes,objectid,objname,objname2,objname3,objnames,occurrence,oldno,origin,othername,otherno,outdate,owned,parent,people,period,phylum,policyno,preparator,prepdate,preserve,pressure,provenance,pubnotes,recas,recdate,recfrom,relnotes,repatby,repatclaim,repatdate,repatdisp,repathand,repatnotes,repatnotic,repattype,rockclass,rockcolor,rockorigin,rocktype,role,role2,role3,school,sex,signedname,signloc,site,siteno,specgrav,species,sprocess,stage,status,statusby,statusdate,sterms,stratum,streak,subfamily,subjects,subspecies,technique,tempauthor,tempby,tempdate,temperatur,temploc,tempnotes,tempreason,tempuntil,texture,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,unit,updated,updatedby,used,valuedate,varieties,webinclude,webrights,weight,weightin,weightlb,width,widthft,widthin,xcord,ycord,zcord
,,0,200my,,,,,,,"Shaw, Nicole",2010-05-21 00:00:00,Natural History,,0,0,0,,  -   -,Paleontology,,2010-05-21 00:00:00,"Witkowski, Christine",Excellent,,,,,,,,,0,0,,,,,0,0.0,0.0,"Reptile track fossil. Small crocodilian four-toed preserved in a piece of square brown sandstone, with mud crack running diagonally from bottom left to top right.",0.0,0,0.0,,2,Excellent,0,,,Mesozoic,,  -   -,,0,,,,,  -   -,,,  -   -  : :,,,,,,,,,,11: Natural History,,,,4.0,0.0,0.0,Dinosaur State Park,,  -   -,,0,,,,,,,,,  -   -,,,,0,,  -   -,,0,0,,15.0,0.0,0.0,,,,  -   -,,0,Classroom,,,,,,0,,,,2010-05-21 00:00:00,,,,,,,,,DP2010.0001,Batrachopus gracilis,,,,,367,,"Trace fossil, track, reptile",,  -   -,,Paleontology,,Jurassic,,,,  -   -,,,,,,,,,,,  -   -,,,,  -   -,,,,,,,,,,,,,,,,Batrachopus gracilis,,,,,  -   -,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2010-05-28 13:58:06.999000,Unknown,,  -   -,,False,,0,0,0,10.0,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-21 00:00:00,Geology,,0,0,0,,  -   -,Geology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,Piece of granite.  Fine grain.,0.0,0,0.0,,2,,0,,,,,  -   -,,0,,,,,  -   -,,,  -   -  : :,,,,,,,,,,11: Natural History,Fine,,,3.0,0.0,0.0,Dinosaur State Park,,  -   -,,0,,,,,,,,,  -   -,,,,0,,  -   -,,0,0,,9.5,0.0,0.0,,,,  -   -,,0,,,,,,,0,,,,2010-05-21 00:00:00,,,,,,,,,DP2010.0002,Granite,,,,,,,,,  -   -,,Geology,,,,,,  -   -,,,,,Found in Collection,,,,,,  -   -,,,,  -   -,,,Light,Intrusive,Igneous,,,,,,,,"""Rock of Ages"" Barre, VT",,,Granite,,,,,  -   -,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2010-05-28 13:18:07.999000,Unknown,,  -   -,,False,,0,0,0,11.0,0.0,0.0,0,0,0
,,0,,,,,,,,"Kremidas, Samantha",2010-05-21 00:00:00,Natural History,,0,0,0,,1988-03-15 00:00:00,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. 4 fossil shells.  White/gray color. 

Note 07/19/2012: Handwritten accession record, 3rd attached image, appears to be an updated copy of the original printed record (2nd image). 
Site according to records is Choptank Formation, St",0.0,0,0.0,All 4 similar size.,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Arcidae,,  -   -  : :,,,Choptank,Invertebrates,,,,,Anadara,11: Natural History,,Marine semi-infaunal suspension feeder,,1.7,0.0,0.0,,,  -   -,001\DP2010000314-2.JPG,3,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,3.5,0.0,0.0,,,,  -   -,,0,,,A,,4.0,,0,,,,2010-05-21 00:00:00,,,,,,Bivalvia,Arcida,,DP2010.0003.1-4,Anadara staminea,,,,,D.P.89.02,,"Invertebrate, mollusk, bivalve",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia (January 20, 1989)",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"St. Leonard, Maryland",,,Anadara staminea,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:54:51,Unknown,,  -   -,,False,,0,0,0,3.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Witkowski, Christine",2010-05-21 00:00:00,Geology,,0,0,0,,  -   -,Geology,"Menezes, Luiz",  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Purple/lavender mica, sheet phyllosilicate. Unique ""book"" of lepidolite sheets.",0.0,0,0.0,,2,,0,,,,,  -   -,,0,,,,,  -   -,,,  -   -  : :,,,,,,,,,,11: Natural History,,,,1.0,0.0,0.0,Dinosaur State Park,,  -   -,,0,,,,,,,,,  -   -,,,,0,,  -   -,,0,0,,9.0,0.0,0.0,,,,  -   -,,0,,,,,,,0,,,,2010-05-21 00:00:00,,,,,,,,,DP2010.0004,Lepidolite,,,,,,,"Mineral, light silicate",,  -   -,,Geology,,,,,,  -   -,,,,,Donation,,"Witkowski, Christine (May 21, 2010)",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"Itinga, Minas Gerais, Brazil",,,Lepidolite,,,Stable,,  -   -,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2010-05-28 13:34:18,Unknown,,  -   -,,False,,0,0,0,2.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Enkler, Meg",2010-05-21 00:00:00,Natural History,,0,0,0,,  -   -,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"(Previously identified as Elrathia kingii, edited by Kira Eaton): Large trilobite preserved in concretion. Hoekapsis megacantha. Lower Ordovician (Tremadoc) of Tarija Dept. in Bolivia. Missing free cheeks.",0.0,0,0.0,,2,,0,,Lower,Paleozoic,,  -   -,,0,,,,,  -   -,,,  -   -  : :,,,,,,,,,Hoekapsis,10: Unclassifiable Artifacts,,,,1.0,0.0,0.0,,Dr. Loren Babcock (of The Ohio State University),  -   -,001\DP20100005.JPG,1,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,11.0,0.0,0.0,,,,  -   -,,0,,,A,,7.0,,0,,,,2010-05-21 00:00:00,,,,,,Trilobita,,,DP2010.0005,Hoekapsis megacantha,,,,,,,"Invertebrate, marine, trilobite",,  -   -,,Need to Classify,,Ordovician,Arthropoda,,,  -   -,Iron carbonate concretion (degraded to limonite),,,,Found in Collection,,,,,,  -   -,,,,  -   -,,,,,,,,,,,,,,,,Hoekapsis megacantha,,Tremadocian,Stable,,  -   -,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-06-05 11:32:20.999000,Unknown,,  -   -,,False,,0,0,0,15.0,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-28 00:00:00,Natural History,,0,0,0,,1989-03-17 00:00:00,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. Two white ""Moon Snail"" fossils. Larger fossil has residual rock/ sand inside. 

Note 07/19/2012: Handwritten accession record, 3rd attached image, appears to be an updated copy of the original printed record (2nd image). 
Site acco",0.0,0,0.0,Dimensions of larger fossil.,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Naticidae,,  -   -  : :,,,St. Mary's Formation,,,,,,Lunatia,11: Natural History,,Marine semi-infaunal,,2.0,0.0,0.0,,,  -   -,001\DP2010000612.JPG,3,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,4.5,0.0,0.0,,,,  -   -,,0,,,A,,9.0,,0,,,,2010-05-28 00:00:00,,,,,,Gastropoda,,,DP2010.0006.1-2,Lunatia heros,,,,,D.P.89.02,,"Invertebrate, mollusk, gastropod",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia (January 20, 1989)",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"Lusby, Maryland",,,Lunatia heros,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:02:07.999000,Unknown,,  -   -,,False,,0,0,0,3.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-28 00:00:00,Natural History,,0,0,0,,1988-03-15 00:00:00,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. Single white ""Cockle"" bivalve

Note 07/19/2012: Handwritten accession record, 3rd attached image, appears to be an updated copy of the original printed record (2nd image). 
Site according to records is Choptank Formation, St. Leona",0.0,0,0.0,,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Cardiidae,,  -   -  : :,,,Choptank,,,,,,Cerastoderma,11: Natural History,,Marine infaunal suspension feeder,,2.0,0.0,0.0,,,  -   -,001\DP20100007-1.JPG,3,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,6.0,0.0,0.0,,,,  -   -,,0,,,A,,4.0,,0,,,,2010-05-28 00:00:00,,,,,,Bivalvia,Cardiida,,DP2010.0007,Cerastoderma laqueatum,,,,,D.P.89.02,,"Invertebrate, mollusk, bivalve",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia (January 20, 1989)",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"St. Leonard, Maryland",,,Cerastoderma laqueatum,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:55:18.999000,Unknown,,  -   -,,False,,0,0,0,4.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-28 00:00:00,Natural History,,0,0,0,,  -   -,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. One large, gray, slightly damage scallop fossil with some barnacles on reverse side.",0.0,0,0.0,,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Pectinidae,,  -   -  : :,,,,,,,,,Chlamys,11: Natural History,,Marine epifaunal stationary suspension feeder,,1.5,0.0,0.0,,,  -   -,001\DP20100008.JPG,4,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,12.0,0.0,0.0,,,,  -   -,,0,,,A,,4.0,,0,,,,2010-05-28 00:00:00,,,,,,Bivalvia,Pectinida,,DP2010.0008,Chlamys jeffersonius,,,,,D.P.85.11.17.d,,"Invertebrate, mollusk, bivalve",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"Rice's Pit, Hampton, Virginia",,,Chlamys jeffersonius,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:55:32.999000,Unknown,,  -   -,,False,,0,0,0,10.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-28 00:00:00,Natural History,,0,0,0,,1988-03-15 00:00:00,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. Two single, white bivalves of about equal size. Label says ""Changed to Glossus?""

Note 07/19/2012: Handwritten accession record, 3rd attached image, appears to be an updated copy of the original printed record (2nd image). 
Site ac",0.0,0,0.0,Dimensions of larger fossil.,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Glossidae,,  -   -  : :,,,Choptank,,,,,,Isocardia,11: Natural History,,Marine infaunal suspension feeder,,2.0,0.0,0.0,,,  -   -,001\DP2010000912-1.JPG,3,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,5.5,0.0,0.0,,,,  -   -,,0,,,A,,4.0,,0,,,,2010-05-28 00:00:00,,,,,,Bivalvia,Venerida,,DP2010.0009.1-2,Isocardia fraterna,,,,,D.P.89.02,,"Invertebrate, mollusk, bivalve",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"St. Leonard, Maryland",,,Isocardia fraterna,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,marylandica,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:55:46.999000,Unknown,,  -   -,,False,,0,0,0,4.5,0.0,0.0,0,0,0
,,0,,,,,,,,"Godaire, Timothy",2010-05-28 00:00:00,Natural History,,0,0,0,,1988-03-15 00:00:00,Paleontology,,  -   -,,,,,,,,,,,0,0,,,,,0,0.0,0.0,"Miocene Collection. Single tan/ gray bivalve.

Note 07/19/2012: Handwritten accession record, 3rd attached image, appears to be an updated copy of the original printed record (2nd image). 
Lucinoma contracta does not appear on the 2nd record, however.",0.0,0,0.0,,2,,0,,Miocene,Cenozoic,,  -   -,,0,,,,,  -   -,Lucinidae,,  -   -  : :,,,Choptank,,,,,,Lucinoma,11: Natural History,,Marine infaunal,,0.75,0.0,0.0,,,  -   -,001\DP20100010.JPG,3,,,,,,,,,  -   -,,,,0,,  -   -,Animalia (Animals),0,0,,3.0,0.0,0.0,,,,  -   -,,0,,,A,,4.0,,0,,,,2010-05-28 00:00:00,,,,,,Bivalvia,Lucinida,,DP2010.0010,Lucinoma contracta,,,,,D.P.89.02,,"Invertebrate, mollusk, bivalve",,  -   -,,Paleontology,,Neogene,Mollusca,,,  -   -,,,,,Donation,,"Magee, Virginia (January 20, 1989)",,,,  -   -,,,,  -   -,,,,,,,,,,,,,"Calvert Cliffs, St. Leonard, Maryland",,,Lucinoma contracta,,,Stable,Teresa Gagnon,2012-07-15 00:00:00,,,,,,,,,,  -   -,,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,,2024-02-20 09:56:01.999000,Unknown,,  -   -,,False,,0,0,0,2.5,0.0,0.0,0,0,0
