accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights
,0,,,,,,,  -   -,,,  -   -,,,,,0,,,0,0,,,,,0,,,0,,,,,  -   -,  -   -  : :,,,,,,0,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,  -   -,,,Default Record,,,,,,,,,,,,,,,,,,,,,,,,,Shelf,,  -   -,,,,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,  -   -  : :,,  -   -,False,
,0,,,,,The La Brea Story and History of Man,,2022-09-29 00:00:00,,,  -   -,,,,,0,George C. Page Museum,,0,0,,1977,Brochure describing the history of the La Brea tar pits and human cultural development.,,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220024.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0024,La Brea Brochure 1977,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,,,,  -   -,,,,,The La Brea Story and History of Man,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:37:37,Unknown,  -   -,False,
,0,,,,,Millstone Nature Trail,,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,,"A booklet describing physical features, history, and wildlife of the Millstone Nature Trail.",,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220025.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0025,Millstone Nature Trail,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,"Wildlife, nature, hiking, history, conservation",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:02:51,Unknown,  -   -,False,
,0,,,,,Paul Olsen Dinosaur Article,,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,,Newspaper article about Paul Olsen and Tony Lessa discovering dinosaur tracks in New Jersey,,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220027.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0027,Paul Olsen Dino Discovery Article,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,"Paleontology, dinosaur tracks",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:43:13.999000,Unknown,  -   -,False,
,0,,,,,Footprints in the Sands of Time,,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,c. 1975?,"""Footprints in the Sands of Time"", a brochure published by Granby Dinosaur Museum in Massachusetts; shows pictures and information about the museum.",,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220028.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0028,Granby Dinosaur Museum Brochure,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,"Paleontology, dinosaurs, geology, museum information",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:49:38.999000,Unknown,  -   -,False,
,0,,,,,"The Famous ""Bird Tracks""",,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,c. early 1900's; 1903,"Older newspaper article about discover of dinosaur tracks in Massachusetts called, ""The Famous 'Bird Tracks' Prints of Hideous Dinosaur. Fifteen Million Years Old.""; also discusses Dr.Edward Hitchcock and Dr.James Deane. Also included letter from 1903 ab",,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220029.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0029,Historical Dinosaur Tracks Article,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,"Paleontology, geology",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 14:59:02.999000,Unknown,  -   -,False,
,0,,,,,Dinosaur Magazine,,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,1998,"Dinosaur magazine about the populatity of dinosaurs and how the are appearing often in art, movies, toys, etc.",,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220030.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0030,Dinosaur Magazine,,,,,,Need to Classify,,,,,The Philadelphia Inquirer,,,,,,,,,,,,,,,  -   -,,"Paleontology, psychology",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-09-29 15:21:40.999000,Unknown,  -   -,False,
,0,,,,,Nanotyrannus,,2022-09-29 00:00:00,,,  -   -,,,,,0,,,0,0,,,"A little pamphlet about nanotyrannus, a dinosaur similar to but smaller than Tyrannosaurus Rex",,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP20220031-4.JPG,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-09-29 00:00:00,,,DP2022.0031,Nanotyrannus,,,,,,Need to Classify,,,,,The Cleveland Museum of Natural History,,,,,,,,,,,,,,,  -   -,,"Paleontology, nanotyrannus",,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2023-03-28 15:00:22.999000,Unknown,  -   -,False,
,0,,,,,How to be a Twig Detective,,2022-10-01 00:00:00,,,  -   -,,,,,0,,,0,0,,,A guide on how to identify trees by looking at their twigs; also information about different types of twigs,,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer,004\DP202236.TIF,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-10-01 00:00:00,,,DP2022.36,Tree Twig ID Guide,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,Botany,,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-01 12:02:55,Unknown,  -   -,False,
,0,,,,,CT Salamander Key,,2022-10-01 00:00:00,,,  -   -,,,,,0,,,0,0,,,A list of CT salamanders and information on how to identify them,,0,,,0,,,,,  -   -,  -   -  : :,,,10: Unclassifiable Artifacts,Archival file cabinet drawer-Park Plants and Wildlife folder,004\DP202237.TIF,1,,  -   -,,,,0,,  -   -,,,,0,0,,,,  -   -,,0,,,,,,,0,,2022-10-01 00:00:00,,,DP2022.37,CT Salamander Key,,,,,,Need to Classify,,,,,,,,,,,,,,,,,,,,  -   -,,Herpetology,,,  -   -,,,,,,,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2022-10-01 12:15:03,Unknown,  -   -,False,
