accessno,acqvalue,appnotes,appraisor,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,copyright,creator,credit,curvalmax,curvalue,dataset,date,descrip,dimnotes,dispvalue,earlydate,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,filmsize,flagdate,flagnotes,flagreason,frame,frameno,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,latdeg,latedate,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,medium,negloc,negno,notes,objectid,objname,objname2,objname3,objnames,oldno,origcopy,otherno,outdate,parent,people,place,policyno,printsize,process,provenance,pubnotes,recas,recdate,recfrom,relnotes,site,siteno,slideno,status,statusby,statusdate,sterms,studio,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,10/29/1968,"Date tentative. Aerial view of Dinosaur State Park with temporary inflatable dome and exposed larger trackway. Bottom right corner reads ""14437-73, 10-29-69."" 

Stamp on back reads: 
""Photography by Heilpern
151 Homestead Ave. 249-5874
Hartford, Con",,,1968,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120001.JPG,1,,  -   -,,,,0,,  -   -,0,1969,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0001,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"7"" x 7""",,,,,,,,,,,,,  -   -,,"Heilpern Photographers, Inc.",,,,  -   -,,,,,AirView Trackway 10.29.1973,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:06:11.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,"Joseph T. Rummel, jr.",,0,0,,,"Aerial view of Dinosaur State Park trackway. 

On reverse side, a handwritten note reads ""Ct. St. Geological and Natural History Survey, Dinosaur St. Park."" Second label on back says ""Nick."" Stamp on back reads: 
""Conn. State Highway Dept. 
Official",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120002.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0002,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,Connecticut State Highway Department,,,,,,,  -   -,,,,,,  -   -,,,,,AirViewtrackway1,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-06-20 11:07:30.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Aerial view of Dinosaur State Park trackway. 

Stamp on back says:
""Conn. State Highway Dept. 
Official Photo
By Joseph T. Rummel, Jr.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120003.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0003,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,Connecticut State Highway Department,,,,,,,  -   -,,,,,,  -   -,,,,,AirViewtrackway2,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:06:35,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Aerial view of Dinosaur State Park trackway. Looking west. 

Stamp on back says:
""Conn. State Highway Dept.
Official Photo
By Joseph T. Rummel, Jr.""",,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120004.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0004,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,Connecticut State Highway Department,,,,,,,  -   -,,,,,,  -   -,,,,,AirViewtrackway3,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:06:53.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,Aerial view of Dinosaur State Park trackway. An arrow below the trackway points cardinal north.,,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120005.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0005,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,AirViewtrackway4,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:07:12,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,"James F. Chipps, jr.",,0,0,,,"A temporary dome structure, nicknamed the ""bubble building"" and made from plastic coating and white nylon fabric (1968-75), which housed approximately 600 tracks and an early exhibit center.",,,1968,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120006.JPG,1,,  -   -,,,,0,,  -   -,0,1968,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0006,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,Connecticut State Highway Department,,,,,,,  -   -,,,,,,  -   -,,,,,Bubble Goes Up,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:07:29,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Visitors inside the ""bubble dome"" exhibit center.",,,1968,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120007.JPG,1,,  -   -,,,,0,,  -   -,0,1968,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0007,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,BubbleDedication1968,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-06-20 11:19:43.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,"James F. Chipps, jr.",,0,0,,1968,"Interior of the inflatable bubble dome, with officials preparing for the 1968 opening. The dome covers a small trackway of Eubrontes footprints. One official facing the camera, center, appears to be Joe Gill (unconfirmed as of 06/13/2012), Conn. Commissi",,,1968,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120008.JPG,1,,  -   -,,,,0,,  -   -,0,1968,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0008,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,Connecticut State Highway Department,,,,,,,  -   -,,,,,,  -   -,,,,,BubbleOpening1968,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-18 10:56:58.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,"Nurses from Connecticut Veterans Home at Rocky Hill, which is located along the same street as the trackway discovery, visit and explore the site (right). First day of discovery.",,,1966,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120009.JPG,1,,  -   -,,,,0,,  -   -,0,1966,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0009,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,"8"" x 10""",,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,Day1DiscoveryNursesVetHome,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:07:45.999000,Unknown,  -   -,False,
,0,,,,"Suazo, Benjamin",2012-05-31 00:00:00,,Dinosaur State Park History,  -   -,,,,,,,0,0,,,Sketch of Dilophosaurus.,,,0,,0,,,,,  -   -,,  -   -  : :,,,,, 8: Communication Artifact,,002\DP20120010.JPG,1,,  -   -,,,,0,,  -   -,0,0,,,  -   -,,0,,,,,,,0,,2012-05-31 00:00:00,,,,,,DP2012.0010,"Print, Photographic",,,,,,,  -   -,Documentary Artifact,,Connecticut/Rocky Hill/Dinosaur State Park,,,,,,,,,,,,,,,  -   -,,,,,,  -   -,,,,,DilophosaurusBakker,,,,,,,,,,,0,0,0,0,0,  -   -,  -   -,,  -   -,,,,,,,,,,2012-07-21 10:08:11,Unknown,  -   -,False,
