accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
2005.9,0.00,,,,,,Toni Donarski,2005-06-13,,"Hedlund, Lorraine",,,,,,0,"Billberg, Eddy E.",,0.00,0.00,,1930,"The War Cry of the Sioux: A Historical Romance from the Sioux Outbreak of 1862
The selling value of this book According to Barnes and Nobel Booksellers would be in the range of 80.to 90 dollars if the edition is in very good to fine condition.",Fair,0,1st as best to our knowledge,,0,,,,,,,,,8: Communication Artifact,"Reseach Rm, Book Case  1,Shelf -3",1,,,,,,0.00,,,Unknown,,,0,0,,,,,,0,,,,,,,0,,,,,2005.9.1,Book,,,,,,Documentary Artifact,,"6"" x 8"" reddish tan hardcover book with the title written on the spine and cover",,,Boston christopher Publishing,,,Gift,06092005,"Hedlund, Lorraine",,,,,,,,OK,"Swanson, Edie",2021-01-02,,,,,,,,,,"
The War Cry of the Sioux: A Historical Romance from the Sioux Outbreak of 1862
","A Historical Romance from the outbreak of 1862
",,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2021-06-30T17:17:12,Unknown,,false,,CB92FAE5-7E19-43D3-B1AB-935454385724
11405,0,,,,,,,2006-03-23,"Communication Artifact
Documentary Artifact","Elementary LibraryNelson, Lillian",2019-11-19,"Swanson, Edie",Good,,,0,Edna St. Vincent Millay,,0,0,,1917/1951,"This book had belonged to the Birchview Elementary Library 


Birchview Elementary School 
Grades: K-5
Type: public
Enrollment: 531
425 Ranchview Ln. N.
Plymouth, MN 55447
Hennepin County 
Phone: (763) 745-5300 
 
",,1917,1951 Edition,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 5 , Shelf -3",1,,,,,,0.00,,,,unknown,English,0,1951,,,,,,0,,,,,,,0,,2019-11-19,,"On the front cover ofthe book it shows a child in short pants outside and at the top of the cover it reads Eddna St,Vincent Millay POEMS Selected for young people.  at the bottom additiona printing -With many drawings by J. Padget-Frederick",11405,Book,,,,,,Documentary Artifact,"Nelson, Lillian (Kelly)","orange, wine, blue, yellow green, gray black and white 4 color cardboard and pap",,,Harper Row,,USA,Donation,01011994,"Nelson, Lillian (Kelly)",,,,,,,,OK,"Swanson, Edie",2019-11-19,"book
young
readers
poems","book
young
readers
poems",,,,,,,,Selected Poems for Young People,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T13:24:18,Unknown,,false,,E6FC7D9D-533B-427D-8686-321018834943
11409,0.00,,,,,,,2006-03-23,,"Nelson, Lillian",,,,,,0,Laura Lee Hope,,0.00,0.00,,1951,"5.5""x8.5625 green, black and white paper book titled The Bobsey Twins , Own Little Railroad One of the series written by laura Lee Hope in the 1950's",Good,1951,,,0,,,,,,,,,8: Communication Artifact,Bkrm  bookcase  sh 3-6,0,,,,,,0.00,,,,044843752X,English,0,0,,,,,,0,,,,,,,0,,,,"On the front of the book it shows the title page and  written in handwriting is ""Property of Mrs. Nelson"" it has the title and author name as well as table of contents.  There is a stamp on the title page which reads Roseau County Museum and the address.",11409,Book,,,,,,Documentary Artifact,,"5.5""x8.5625",,,"Grosset & Dunlap, New York, NY",,"New York, NY",Donation,01011994,"Nelson, Lillian (Kelly)",,,,,,,,,,,,,,,,,,,,The Bobsey Twins Own Little Railroad,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2006-03-23T13:30:35,,,false,,15AE31D7-6FB4-4C5A-A05B-553148475656
2005.10,0,,,,,,Toni Donarski,2006-08-15,"Communication Arrtifact
Documentary Artifact",T. Neal & LaVonne Johnson,2018-04-03,"Swanson, Edie",Good,,,0,Eddy E. Billberg,,0,0,,1930,"2005.10.54 8.065""x5.5"" Orange black white and gold hardcover book titled ""The War Cry of the Sioux"" written by Eddy E. Billberg  This is a Historical Romance from the Sioux outbreak of 1862. On the inside cover of this book is the name Mrs. Thilda Johnson who is the Mother of Neal Johnson.  There are 182 pages in this book.   The book is in Excellent condition.  The book was published by the Christopher Publishing House  Boston, MA., USA  The copyright of this book is 1930. The spine is reasonably tight considering the age of the book.",Excellent,1930,,,0,,,,,,,,,8: Communication Artifact,"Archive RM,  Shelf 16A, Box Neal Johnson",0,,,,,,0.00,,,,,English,0,0,,,,,,0,,,,,,,0,,2018-04-03,,"July 1, 2005, The Christopher Publishing House will cease all operations, thus ending 95-plus years of continuous publishing history.
",2005.10.54,Book,,,,,,Documentary Artifact,"Johnson, T. Neal & LaVonne","8.065""x5.5"" Orange black white and gold hardcover book titled ""The War Cry of th",,,Christopher Publishing House,,"Boston, MA., USA",Gift,04/22/2005,"Johnson, T. Neal & LaVonne",,,,,,,,OK,Toni Donarski,,book,book,,,,,,,,"""The War Cry of the Sioux""",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-04-03T15:14:24,Unknown,,false,,5FC393E7-38DB-42AF-874C-280577744352
2006.25,0,,,,,,Toni Donarski,2006-10-30,,"City of Halma Pederson, Kathleen",,,Excellent,,,0,Halma Centennial Committee,,0,0,,2004,"2006.25.1  11.25x8.75  black gold and white hardbound centennial book for the city of Halma Minnesota.  the title on the front cover is Halma The first Hundred Years 1904-2004  The title and decorations in the corner are embossed in gold.  Written on the inside of the front cover is ""To the Roseau County Historical Society From the City of Halma"" Kathleen Pederson  there are 302 pages of written material and photographs from page 303 to page 322 are advertisements and congratulatory advertisements from various businesses in the community and surrounding communities.  The overall condition of the book is excellent.  The book will be stored in the Research center with the other town books.",Excellent,2004,,Halma Community Centennial,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -2",1,,,,,,0.00,,,,,english,0,0,,,,,,0,,,,,,,0,,,,,2006.25.1,Book,,,,,,Documentary Artifact,,11.25x8.75  black gold and white hardbound centennial book for the city of Halm,,,Unknown,,Unknown,Gift,,City of Halma - Kathleen Pederson,,,,,,,,OK,"Swanson, Edie",2020-01-13,,Centennial of Halma Minnesota,,,,,,,,Halma The first Hundred Years 1904-2004,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-13T10:24:31,Unknown,,false,,D2625863-EA44-4EA3-8DA0-171145324648
2008.28,0.00,,,,,,Britt Dahl,2008-05-02,,Delbert L. Johnson,,,Good,,,0,Delbert L. Johnson,,0,0.00,,,"8.625"" x 10.685"" x .5"" soft covered book. The cover is ivory in color with a ""Blanche Ostrander Johnson""  with an outline around it. This book was complied by Delbert L. Johnson and contains the family history of Blanche Ostrander Johnson. There are 251 pages.",Good,0,,,0,,,,,,,,,8: Communication Artifact,Family History File in Archive Room,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,,,2008.28.1,Book,,,,,,Documentary Artifact,"Johnson, Delbert L. ",,,,,,,Donation,05/15/2008,"Johnson, Delbert L.",,,,,,,,OK,BD,2008-05-02,"family history
ancestors",family history of Blanche Ostrander Johnson,,,,,,,,Blanche Ostrander Johnson-A Portrait of American History,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-02-19T13:40:26,Unknown,,false,,2BF97908-89C9-4C3F-B06D-415446244560
2009.8,0.00,,,"General George C. Marshall, Chief of Staff, United States Army",,,Joan Hull,2009-08-28,"Communication Artifact
Documentary Artifact",Keith & Leanne Johnson,,,Good,,,0,United States War Department,,0.00,0.00,,circa 1941,"WAR DEPARTMENT. BASIC FIELD MANUAL. SOLDIER'S HANDBOOK. July 23, 1941. USA. 
FM-21-100. 4.75"" x 6.625"". 251 pages. Name printed in frontpiece: Oliver Norjure. Tan cover of lightweight cardstock. Paper is faded ivory, tissue stock. Page V has a record to the Soldier who owns the book, including next of kin, amount of government insurance, DOB, place of birth, RIfle number, company number and commander's name. Pvt. Norjure worked with the Quartermaster, was 5'8"" tall and weighed 170 pounds, according to this record. 
",,0,"1941, Government Printing Office",,0,,,,,,,,,8: Communication Artifact,"Shelf 16-A,  Box Z",0,,,,,,0.00,,,,,English,0,0,,,,,,0,,,,,,,0,,2009-08-28,,,2009.8.1,"Book, Instruction",,,,,,Documentary Artifact,"Johnson, Keith & Leanne",,,,United States Government Printing Office,,"Washington, D.C.",Donation,,"Johnson, Keith & Leanne",,FM 21-100,,,,,,,,,"book
instruction
manual
field
basic
Oliver
Norjure
soldier
government
insurance
date
birth
place
rifle
number
company
commander
name
height 
weight","book
instruction
manual
field
basic
Oliver
Norjure
soldier
government
insurance
date
birth
place
rifle
number
company
commander
name
height 
weight
",,,,,,,,"BASIC FIELD MANUAL, SOLDIER'S HANDBOOK
July 23,1941",,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2016-05-18T12:07:58,Unknown,,false,,F65FD6DD-791A-4D65-949C-455303711933
2186,0.00,,,,,,,,,Unknown,,,Good,,,0,,,0.00,0.00,,Circa 1915,"Color: Yellow, white and black
Marks: Walter S. Booth and Son Publishers 1915, Minneapolis, MN; Notary's Manual Roseau, MN Aug. 12, 1919 John P. Ivery",Fair,0,,,0,,,,,,,,,8: Communication Artifact,"Research Center in (file) Ivers, John P.",0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003","
",2186,Book,,,,,,Documentary Artifact,,,, ,,,,Donation,Unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2023-08-16T09:54:20,Unknown,,false,,04A3B4E0-B6DA-4DE9-8B4F-538425576870
741,0.00,,,,,,,,,Roseau County,,,Good,,,0,,,0.00,0.00,,Circa 1910,"Category: 4 -Tools and Equipment
Sub-category: Data Processing T&E
Color: Light brown w/ dark brown
Marks: Front cover: ""How to use the marchant Calculator, 56 pages"" Page 2 gives copyright dat of 1928",,0,,,0,,,,,,,,,6: T&E For Communication,"Backroom,  Bookcase in the file ""Books""",0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,741.2,"Booklet, Adding Machine",,,,,,Data Processing T&E,,,, ,,,,Donation,Unknown,Roseau County,,,,RCHS,,,,OK,,,,Bucksaw and axe in an old whiskey bottle,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-09-06T15:32:46,Unknown,,false,,C9CF50C3-E470-435F-840C-561117275456
1896,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",P. O. Fryklund Collection,2017-10-03,"Swanson, Edie",Fair,,,0,,,0.00,0.00,,Circa 1724,"Category: 5 -Communication Artifacts
Sub-category: Documentary Artifact
Color: White and black
Marks: None
Origin:
When: 1724
Where: Sweden
Swedish Psalm Book, printed in 1724 
P. Tarick. Rifirtra",Fair,0,,,0,,,,,,,,,8: Communication Artifact,Display 41,2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2017-10-03,"Object is marked and has a category card.
object inventoried 2003",,1896,"Book, Psalm",,,,,,Documentary Artifact,"Fryklund, P. O.",,, ,,,,Donation,Unknown,P. O. Fryklund Collection,,,,RCHS,,,,OK,"Swanson, Edie",2017-10-03,"book
Psalm","book
Psalm",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-10-03T13:50:42,,,false,,410DAF1E-1F8A-4727-A6A6-504791292100
