access,accessno,accruals,acqvalue,admin,appnotes,appraisal,appraisor,archivist,archnotes,area,associate,authorx,caption,catby,catdate,cattype,classes,collection,conddate,condexam,condition,condnotes,containtxt,copies,creator,credit,curvalmax,curvalue,custodial,dataset,date,dateaccum,datecreate,descdate,descrip,dispdate,dispositn,dispvalue,earlydate,edition,elongitude,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,extent,findaid,flagdate,flagnotes,flagreason,genre,gparent,group,homeloc,imagefile,imageno,inscomp,insdate,insets,insphone,inspremium,insrep,instrument,insvalue,interviewr,intvdate,intvlength,intvplace,intvrest,invnby,invndate,label,language,latdeg,latedate,legal,level,link,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,media,medium,mlanguage,narrator,narratorid,nlatitude,notes,objectid,objname,objname2,objname3,objnames,oldno,originals,otherno,parent,people,physchar,pmeridian,policyno,projection,pubdate,publisher,pubnotes,pubplace,quantity,recas,recdate,recfrom,refcode,related,relnotes,reviewed,rights,rules,scale,series,sheets,signedform,site,siteno,sitesadded,size,slatitude,status,statusby,statusdate,sterms,subjects,system,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,transcribr,transdate,transloc,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,wlongitude,ppid
,2023.035.028,,0,,,,,,,,,,dishargepapers 1899,Ann Muecke,2023-12-26,,,,,,,,,,,,0,0,,,,"unknown, ","march 27,1899",,Item is a military document dated March 27 1899 .it is signed and dated on the back of document. Gustav M. Ziemann was discharged honorably from the 2 years in the 15th regiment infantry,,,,0,,0,,0,,,,,,"1 piece of paper,with writing on the back and front,stamped,signed and dated on the bottom of the back sheet. yellowed,fragile paper in plastic sleeve for protection  ",,,,,,,,,064\Default Record.JPG                                      ,2,,,,,,,,0.00,,,,,,,,,,0.000000,1899,,,,,,,0,,,,,,,0.000000,,,,,,,,0,0,,2023.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,To Whom It May Concern letter// disharge paper from 1899 GUSTAV M. ZIEMANN,,,,,,,,,,,,,,0,0,0.00,0.000,0.000,,,,,,,,,,,,,,2024-04-04T11:45:59,Unknown,,false,,,47C61FBA-7228-4D4E-9732-780683822619
,2014.020,,0,,,,,,,,,,,gjc,2014-10-29,Archive,,,2014-10-28,gjc,good,,,,Tom Kremer                                                                      ,,0,0,,,,,1917 1931 1946,,Iona Base Ball History 1917 1931 1946,,,,1917,,,,0,,,,,,One of three Binders with white covers ,,,,,,8: Communication Artifact,,,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1946,,,,,,,0,02,,,B,,,0.000000,,2014-10-29,,,,,,0,,,2014.020.001,Scrapbook,,,,,,,Documentary Artifact,,,,,,,,,,,Gift,2014,"Kremer, Tom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iona Baseball,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2014-10-29T11:47:59,Unknown,,false,,,F319C95C-10F4-4C47-99B2-274199085374
,2014.020,,0,,,,,,,,,,,gjc,2014-09-15,Archive,Sports,,2014-10-28,gjc,good,,,,,,0,0,,,,,,,,,,,1899,,,,0,,,,,,,,,,,,8: Communication Artifact,,,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1908,,,,,,,0,1,,,b,,,0.000000,,2014-09-15,,,,,,0,,,2014.020.002,Scrapbook,,,,,,,Documentary Artifact,Iona and Avoca Baseball scrapbook,,,,,,,,,,Gift,2014,"Kremer, Tom",,,,,,,,,,,,,,,,,,,baseball clubs ,Iona Avoca ball clubs ,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2014-10-31T16:51:10,Unknown,,false,,,8C2CA40A-B974-4309-AEE9-800947382026
,2014.020,,0,,,,,,,,,,,gjc,2014-10-29,Archive,baseball sports,,2014-10-28,gjc,good,,,,,,0,0,,,10282014,,,,,,,,1917,,,,0,,,,,,,,,,,,8: Communication Artifact,,,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1946,,,,,,,0,01,,,b,,,0.000000,,2014-10-29,,,,,,0,,,2014.020.003,Scrapbook,,,,,,,Documentary Artifact,Hadley Buttermakers St Croix Baseball club Wilmont Colts Fulda  Lismore ,,,,,,,,,,Gift,2014,"Kremer, Tom",,,,,,,,,,,,,,,,,,,Clubs Baseball Teams ,Hadley Buttermakers St Croix Baseball club Mickie  Weyker Ben Dysthe Al Rieman Mahon Chandler ,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2014-10-29T13:53:26,Unknown,,false,,,E46A7A07-74F4-4654-8C43-804753139661
,2015.022,,0,,,,,,,,,,,Gaylene J Chapman,2015-09-12,Archive,,,2015-09-12,Gaylene J Chapman,Poor,,,,,,0,0,,,11/14/2014,,,,Slayton Scene of Nation's Worst 2 Car Crash 11 lives are sacrificed to speed.  April 25 1940,,,,1940,,,,0,,,,,,,,,,,,,,Museum,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1940,,,,,,,0,Newspaper,,,,,,0.000000,,2015-09-12,,,,,,0,,,2015.022.040,Newspaper,,,,,,,,,,,,,,,,,,Gift,,Ardis Andert,,,,,,,,,,,,,,,,09/12/2015,Gaylene J Chapman,2015-09-12,,,,,,,,,,,Murray County Herald,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2015-09-12T11:33:48,Unknown,,false,,,E1A8FF8E-ADD1-45D3-984F-065769832400
,2015.022,,0,,,,,,,,,,,,2015-09-12,Archive,,,,,,,,,,,0,0,,,11/14/2014,,,,11 young people die as auto crash head on near Slayton Minnesota,,,,1940,,,,0,,,,,,,,,,,,,,Newspaper Room,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1940,,,,,,,0,,,,,,,0.000000,,2015-09-12,,,,,minneapolis morning tribune,0,,,2015.022.041,Newspaper,,,,,,,,,,,,,,,,,,Gift,,Ardis Andert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2015-09-12T11:40:02,Unknown,,false,,,132BF5D5-4DE7-4145-819D-512923203231
,2015.022,,0,,,,,,,,,,,Gaylene J Chapman,2015-09-12,Archive,,,,,,,,,,,0,0,,,11/14/2014,,,,Slayton High Beacon Slaytons new High School Building,,,,1932,,,,0,,,,,,,,,,,,,,Newspaper Room,,0,,,,,,,,0.00,,,,,,,,,,0.000000,1932,,,,,,,0,,,,,,,0.000000,,2015-09-12,,,,,Murray County Hearld,0,,,2015.022.042,Newspaper,,,,,,,,,,,,,,,,,,Gift,,Ardis Andert,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2015-09-12,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2015-09-12T12:52:07,Unknown,,false,,,5052DA32-5A14-4EB4-BCD3-376940972453
,2015.023,,0,,,,,,,,,,2015.023.002,Gaylene J Chapman,2015-09-15,Archive,,June Skauge,,,,,,,,,0,0,,,11/15/2014,,,,"Diploma of June Skouge given to her on July 13 1929 from the public schools of Murray County Minnesota. Signed by Ada B. Wise. gold seal on Diploma.  Diploma states that June Skough has completed the course of study prescribed for the Elementary Schools of Minnesota, and therefore merits this Diploma.",,,,1929,,,,0,Diploma,,"Diploma of June Skouge given to her on July 13 1929 from the public schools of Murray County Minnesota. Signed by Ada B. Wise. gold seal on Diploma.  Diploma states that June Skough has completed the course of study prescribed for the Elementary Schools of Minnesota, and therefore merits this Diploma.",,2020-08-01,,,,,,,,,Museum,006\2015023002.JPG                                          ,1,,,,,,,,0.00,,,,,,,,,,0.000000,1929,,,,,,,0,Newspaper Room,,Family Files,,June Skouge File,,0.000000,,2015-09-15,,,,,,0,,,2015.023.002,Diploma,,,,,,,,,,,,,,,,,,Gift,,Jacqui Hoffman,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,"Diploma of June Skouge given to her on July 13 1929 from the public schools of Murray County Minnesota.  Sigined by Ada B. Wise.  gold seal on Diploma.   Dipolma states that June Skough has completed the course of study prescribed for the Elementary Schools of Minnesota, and therefore merits this Diploma.",,,,,,,,,2019-10-07T14:34:41,Unknown,,false,,,9B4DA532-1695-4B0D-B05C-219743244018
,2015.023,,0,,,,,,,,,,2015.023.003,Gaylene J Chapman,2015-09-15,Archive,,,,,,,,,,,0,0,,,11/15/2014,,,,Book on flowers by June Skouge. First Premium was won for this book on flowers.. September 5 6 and 7 in 1929.  Book is hand written by June and tell about flowers and how to grow them.  There is also a flower picture on most pages most likely cut from a garden catalog.  June Skouge age 13 Hadley District 21.  School.,,,,1929,,,,0,,,,,,,,,,,,,,Museum,006\2015023003.JPG                                          ,1,,,,,,,,0.00,,,,,,,,,,0.000000,1929,,,,,,,0,Newspaper Room,,,,June Skouge File,,0.000000,,2015-09-15,,,,,,0,,,2015.023.003,"Book, Instruction",,,,,,,,JUNE SKOUGE,,,,,,,,,,Gift,,Jacqui Hoffman,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2015-09-15,,flowers,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,Book on flowers by June Skouge.  First Premiun was won for this book on flowers.. September 5 6 and 7 in 1929.   Book is hand written by June and tell about flowers and how to grow them.  There is also a flower picture on most pages most likkely cut from a garden catolog.   June Skouge age 13  Hadley District 21.  School.,,,,,,,,,2015-09-15T13:20:55,Unknown,,false,,,B2BD43F1-808C-4DEE-9488-106441693600
,2015.023,,0,,,,,,,,,,2015.023.004,Gaylene J Chapman,2015-10-15,Archive,,,,,,,,,,,0,0,,,11/15/2014,,,,,,,,1929,,,,0,,,,,,,,,,,,,,Museum,006\2015023004.JPG                                          ,1,,,,,,,,0.00,,,,,,,,,,0.000000,1929,,,,,,,0,Newspaper Room,,,,June Skouge File,,0.000000,,2015-09-15,,,,,,0,,,2015.023.004,"Book, Instruction",,,,,,,,,,,,,,,,,,Gift,,Jacqui Hoffman,,,,,,,,,,,,,,,,Accession,Gaylene J Chapman,2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,HISTORY OF MINNESOTA.  CLASS PROJECT BOOKLET WRITTEN BY JUNE SKOUGE IN 1929.  RECIVED FIRST PREMIUN FROM THE MURRAY COUNTY AGRICULTURAL SOCIETY IN 1929 DURING THE SLAYTON FAIR SEPTEMBER 5 6 7 IN 1929.   JUNE WAS 13 YEARS OLD WHEN SHE WROTE THIS BOOKLET. ,,,,,,,,,2015-09-15T11:22:55,Unknown,,false,,,58F7B85B-4BC8-4BBB-BD50-436731286623
