accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imagefile,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
E-011,0,,,,E-011,The Belhaven Eleven,,,,,,,,,,0,George Barton,,0,0,,,,,0,,,0,,,,,,,,,,,065\Default Record.JPG                                      ,2,,,,,,0.00,,,,,,0.000000,0,,,,,,0,,,,,,,0.000000,,,,,E-011,,,,,,,,,This book is light grey with a bright orange circle in the cover and a football player in a yellow outfit.,,,Winston,,,,,,,,,,,,,,,,,football,,,,,,,,The Bell Haven Eleven,,,,,,,,,,,,0,0,0.00,0.000,0.000,,,,,,,,,,,,,,2024-01-26T13:29:35,Unknown,,false,,8902AAF0-3BB0-4614-A480-265378523709
2016.014,0,,,,,,Gaylene J Chapman,2016-04-21,,,,,,,,0,,,0,0,,04/21/2016,"Franz Haberman
Ferdinand Haberman
Jerome Stumm
Haberman Family History.  White Binder with Frank Haberman on spine",,1825,,,0,,,,,,,,,,Museum,,0,,,,,,0.00,,,,,,0,2016,,,,,,0,Research area,,,,,,0,,2016-04-21,,,2016.014.001,Family History,,,,,,,"Franz Haberman
Ferdinand Haberman
Jerome Stumm",,,,,,,,,,,,,,,,,OK,Gaylene J Chapman,2016-04-21,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-04-21T15:47:42,Unknown,,false,,DD4F1E83-B840-4678-8ADF-611005215960
2016.026,0,,,,,2016.026.001,Gaylene J Chapman,2016-06-21,,,2016-06-21,Gaylene J Chapman,Fair,corners are worn,,0,Mary Ann Grossmann Tom Thomsen,Romane Dold,0,0,,1976,"The Minnesota Almanac 1982, Geography, Vital Statistics, Business and Industry, Communications, Sports, Fishing, Hunting and Wildlife.",,1654,,,0,,,,,,,,,,Museum,011\2016026001.JPG                                          ,1,,,,,,0.00,,,,,,0,1882,,,,,,0,Research area,,,south wall,,,0,,2016-06-21,,,2016.026.001,Book,Almanac,,,,,,"Business and
Communications,
Geography,
Hunting and
Industry,
Sports, Fishing,
Vital Statistics,
Wildlife.",,,,,,,,,Romane Dold,,,,,,,,Accession,Gaylene J Chapman,2016-06-21,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-06-21T15:32:34,Unknown,,false,,ECC83382-5923-4BD6-9592-322714324050
2016.031,0,,,,,2016.031.005,Bryanne Bose,2016-07-06,,,,,,,,0,,Maxine Gaul,0,0,,7-5-1996,"Little Miss and Mr. Iona pageant July 5th, 1996",,1996,,,0,,,,,,,,,,Museum,012\2016031005.JPG                                          ,1,,,,,,0.00,,,,,,0,1996,,,,,,0,Newspaper Room,East wall,,,,,0,,2016-07-06,,,2016.031.005,Videotape,,,,,,,,,,,,,,,,Maxine Gaul,,,,,,,,Accession,Bryanne Bose,2016-07-06,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-07-07T15:33:19,Unknown,,false,,172B45C4-40C8-4671-820B-084101213328
2016.031,0,,,,,2016.031.006,Bryanne Bose,2016-07-06,,,,,,,,0,,Maxine Gaul,0,0,,7-6-1996,Iona Centennial Parade July 6th 1996,,1996,,,0,,,,,,,,,,Museum,012\2016031006.JPG                                          ,1,,,,,,0.00,,,,,,0,1996,,,,,,0,Newspaper Room,East wall,,,,,0,,2016-07-06,,,2016.031.006,Videotape,,,,,,,,,,,,,,,,Maxine Gaul,,,,,,,,Accession,Bryanne Bose,2016-07-06,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-07-07T15:33:47,Unknown,,false,,A5EE25BB-26A5-494E-8610-803355659729
2016.031,0,,,,,2016.031.007,Bryanne Bose,2016-07-06,,,,,,,,0,,Maxine Gaul,0,0,,7-7-1996,"Iona centennial, quickstep and the Iona all-stars 
July 7th, 1996",,1996,,,0,,,,,,,,,,Museum,012\2016031007.JPG                                          ,1,,,,,,0.00,,,,,,0,1996,,,,,,0,Newspaper Room,East wall,,,,,0,,2016-07-06,,,2016.031.007,Videotape,,,,,,,,,,,,,,,,Maxine Gaul,,,,,,,,Accession,Bryanne Bose,2016-07-06,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2016-07-08T10:06:15,Unknown,,false,,A0D3459D-2823-40F9-B8BC-932009145654
2017.129,0,,,,,2017.129.001 001,Gaylene J Chapman,2017-09-29,,,,,,,,0,Maxine Pierson Eleanor Warren Peggy Southwick,Shirley Knapp,0,0,,1987,Slayton Centennial 1887 1987,,1887,,,0,,,,,,,,,,Museum,016\2017129001.JPG                                          ,2,,,,,,0.00,,,,,,0,1987,,,,,,0,Newspaper Room,north wall,,,,,0,,2017-09-29,,,2017.129.001,Book,,,,,,,,,,,,,,Donation,2-15-2017,Shirley Knapp,,,,,,,,Accession,Gaylene J Chapman,2017-09-29,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2017-09-29T16:39:08,Unknown,,false,,C70E6F39-6F11-47BD-B4D6-584849793422
2017.134,0,,,,,2017.134.001 002,Gaylene J Chapman,2017-10-06,,,,,,,,0,,Marlene Larson,0,0,,1915,Home Laundry Hints 1915,,1915,,,0,,,,,,,,,,Museum,016\2017134001-1.JPG                                        ,1,,,,,,0.00,,,,,,0,1915,,,,,,0,Newspaper Room,north wall,,Domestics,,,0,,2017-10-06,,,2017.134.001,"Book, Instruction",,,,,,,,,,,,,,Donation,05162017,Marlene Larson,,,,,,,,Accession,Gaylene J Chapman,2017-10-06,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2017-10-06T11:31:25,Unknown,,false,,F33AFC2F-9425-45C9-8972-970972928960
2017.134,0,,,,,2017.134.001 001,Gaylene J Chapman,2017-10-06,,,,,,,,0,,Marlene Larson,0,0,,,The Herb Doctor or natures road to health.  Guide to the preparation of valuable botanical medicines for home use. ,,0,,,0,,,,,,,,,,Museum,016\2017134002-2.JPG                                        ,1,,,,,,0.00,,,,,,0,0,,,,,,0,Newspaper Room,,,Domestics,,,0,,2017-10-06,,,2017.134.002,"Book, Instruction",,,,,,,,,,,,,,Donation,05162017,Marlene Larson,,,,,,,,Accession,Gaylene J Chapman,2017-10-06,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2017-10-06T11:32:28,Unknown,,false,,BCC43527-EEC0-4776-82C8-254909504696
2018.016,0,,,,,Front Cover,Rose Schmit,2018-09-13,Schools,Dinehart/Holt,2018-09-13,Rose Schmit,Fair,There is slight wear on the corners. The binding is very delectate and loose. Slight marks on the front and back covers.,,0,Edward T. Thorndike,,0,0,,1905,,,0,,,0,,,,,,,,,,Museum,017\2018016001.JPG                                          ,5,,,,,,0.00,,,,,English,0,0,,,,,,0,West wing,,,Library,,,0,,2018-09-13,,,2018.016.001,Book,,,,,,,"Florence Dinehart
Edward L. Thorndike
Amy Pressley",The book has a maroon cover. The writing of the spine is in a gold color. The pages are white/cream colored.,,The book was owned by Florence Dinehart whose signature appears on the first page. Donated by Amy Pressely.,The Mason-Henry Press,,"Syracuse, New York",Donation,11/21/2017,"Pressley, Amy",,,,,,,"Elements 
of
Psychology
Thorndike
A. G. Seiler",OK,Rose Schmit,2018-09-13,"Psychology
Students
Studying
Reading
Florence Dinehart
Edward L. Thorndike
Dinehart Holt House
Holt House
Dinehart House","Psychology
Students
Studying
Reading",,,,,,,,The Elements of Psychology ,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,2019-01-29T12:54:46,Unknown,,false,,DA2A1C2E-6243-4BC7-9A07-323309457280
